"Washington,_D.C.",United_States
"Harrisburg,_Pennsylvania",Pennsylvania
"Providence,_Rhode_Island",Rhode_Island
Indianapolis,Indiana
"Madison,_Wisconsin",Wisconsin
"Pensacola,_Florida",West_Florida
Oklahoma_City,Oklahoma
"Sacramento,_California",California
"Tallahassee,_Florida",Florida
"Boise,_Idaho",Idaho
Atlanta,Georgia_(U.S._state)
"Jackson,_Mississippi",Mississippi
"Salem,_Oregon",Oregon
Denver,Colorado
"Trenton,_New_Jersey",New_Jersey
"Phoenix,_Arizona",Arizona
"Montgomery,_Alabama",Alabama
"Knoxville,_Tennessee",Southwest_Territory
"Dover,_Delaware",Delaware
Honolulu,Hawaii
"Nashville,_Tennessee",Tennessee
Boston,Massachusetts
"Raleigh,_North_Carolina",North_Carolina
"Little_Rock,_Arkansas",Arkansas
"Baton_Rouge,_Louisiana",Louisiana
"Austin,_Texas",Texas
"Columbus,_Ohio",Ohio
"Hartford,_Connecticut",Connecticut
