Detroit,Michigan_Territory
"Annapolis,_Maryland",Province_of_Maryland
"Washington,_D.C.",United_States
"Madison,_Wisconsin",Wisconsin_Territory
"Burlington,_New_Jersey",Province_of_New_Jersey
"Exeter,_New_Hampshire",Province_of_New_Hampshire
"Harrisburg,_Pennsylvania",Pennsylvania
"Burlington,_Iowa",Wisconsin_Territory
"Sacramento,_California",California
Indianapolis,Indiana
"Montgomery,_Alabama",Alabama
"Concord,_New_Hampshire",New_Hampshire
"Saint_Paul,_Minnesota",Minnesota
"Columbia,_South_Carolina",South_Carolina
"Charleston,_West_Virginia",West_Virginia
"Elizabeth,_New_Jersey",Province_of_New_Jersey
"Annapolis,_Maryland",Maryland
"Williamsburg,_Virginia",Colony_of_Virginia
"Augusta,_Maine",Maine
"Tallahassee,_Florida",Florida
"Boise,_Idaho",Idaho
London,Thirteen_Colonies
Atlanta,Georgia_(U.S._state)
"Jackson,_Mississippi",Mississippi
"Salem,_Oregon",Oregon
Denver,Colorado
"Richmond,_Virginia",Virginia
"Trenton,_New_Jersey",New_Jersey
"Madison,_Wisconsin",Wisconsin
Oklahoma_City,Oklahoma
"Phoenix,_Arizona",Arizona
"Newport,_Rhode_Island",Colony_of_Rhode_Island_and_Providence_Plantations
"New_Haven,_Connecticut",Connecticut_Colony
"Hartford,_Connecticut",Connecticut_Colony
"Frankfort,_Kentucky",Kentucky
"Topeka,_Kansas",Kansas
"Dover,_Delaware",Delaware
Honolulu,Hawaii
"Nashville,_Tennessee",Tennessee
"Lansing,_Michigan",Michigan
"Salem,_Massachusetts",Massachusetts_Bay_Colony
"Montpelier,_Vermont",Vermont
"Raleigh,_North_Carolina",North_Carolina
"Albany,_New_York",New_York
"Portsmouth,_New_Hampshire",Province_of_New_Hampshire
"Burlington,_New_Jersey",West_Jersey
"Springfield,_Illinois",Illinois
"Austin,_Texas",Texas
"Columbus,_Ohio",Ohio
"New_Castle,_Delaware",Delaware_Colony
"Hartford,_Connecticut",Connecticut
