Detroit,Michigan_Territory
Wyoming_Territory,"Cheyenne,_Wyoming"
"Cheyenne,_Wyoming",Wyoming
"Washington,_D.C.",United_States
"Virginia_City,_Montana",Montana_Territory
"Burlington,_Iowa",Iowa_Territory
"Jefferson_City,_Missouri",Missouri
"Burlington,_Iowa",Wisconsin_Territory
"Sacramento,_California",California
"Madison,_Wisconsin",Wisconsin
"Concord,_New_Hampshire",New_Hampshire
"Frankfort,_Kentucky",Kentucky
Oklahoma_City,Oklahoma
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
"Helena,_Montana",Montana
"Topeka,_Kansas",Kansas
Denver,Colorado
"Carson_City,_Nevada",Nevada
"Trenton,_New_Jersey",New_Jersey
"Juneau,_Alaska",Alaska
"Columbia,_South_Carolina",South_Carolina
"Dover,_Delaware",Delaware
Honolulu,Hawaii
"Nashville,_Tennessee",Tennessee
"Helena,_Montana",Montana_Territory
"Montpelier,_Vermont",Vermont
"Madison,_Wisconsin",Wisconsin_Territory
"Springfield,_Illinois",Illinois
"Little_Rock,_Arkansas",Arkansas
"Bannack,_Montana",Montana_Territory
"Austin,_Texas",Texas
"Phoenix,_Arizona",Arizona
"Hartford,_Connecticut",Connecticut
Salt_Lake_City,Utah
