"Pierre,_South_Dakota",South_Dakota
"Boise,_Idaho",Idaho_Territory
"Cheyenne,_Wyoming",Wyoming
Avarua,Cook_Islands
"Cheyenne,_Wyoming",Wyoming_Territory
"Washington,_D.C.",United_States
"Monterey,_California",Alta_California
"Harrisburg,_Pennsylvania",Pennsylvania
"Jefferson_City,_Missouri",Missouri
"Corvallis,_Oregon",Oregon_Territory
"Sacramento,_California",California
Longyearbyen,Svalbard
"Madison,_Wisconsin",Wisconsin
"Concord,_New_Hampshire",New_Hampshire
"Sitka,_Alaska",Department_of_Alaska
Honolulu,Territory_of_Hawaii
Pago_Pago,American_Samoa
"Oregon_City,_Oregon",Oregon_Territory
Oklahoma_City,Oklahoma
"Olympia,_Washington",Washington_(state)
"Tallahassee,_Florida",Florida
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
"Helena,_Montana",Montana
"Jackson,_Mississippi",Mississippi
"Olympia,_Washington",Washington_Territory
Denver,Colorado
"Carson_City,_Nevada",Nevada
"Richmond,_Virginia",Virginia
"Salem,_Oregon",Oregon
"Juneau,_Alaska",Alaska
"Lewiston,_Idaho",Idaho_Territory
"Topeka,_Kansas",Kansas
"Salem,_Oregon",Oregon_Territory
"Montgomery,_Alabama",Alabama
"Dover,_Delaware",Delaware
"Bismarck,_North_Dakota",North_Dakota
Honolulu,Hawaii
"Montpelier,_Vermont",Vermont
"Lansing,_Michigan",Michigan
"Sitka,_Alaska",Russian_America
"Springfield,_Illinois",Illinois
"Carson_City,_Nevada",Nevada_Territory
"Little_Rock,_Arkansas",Arkansas
"Baton_Rouge,_Louisiana",Louisiana
"Santa_Fe,_New_Mexico",New_Mexico_Territory
"Phoenix,_Arizona",Arizona
