James_Rhyne_Killian,MIT_Press
Dwight_L._Moody,Moody_Publishers
A._Ray_Olpin,University_of_Utah_Press
Mark_Leyner,Fiction_Collective_Two
Lewis_Turco,Cleveland_State_University_Poetry_Center
Ronald_Sukenick,Fiction_Collective_Two
John_Gabbert_Bowman,University_of_Pittsburgh_Press
B._H._Friedman,Fiction_Collective_Two
Edward_Anthony_Bradford,The_Yale_Record
Herbert_S._Scott,New_Issues_Poetry_&_Prose
Betsy_Sholl,Alice_James_Books
Curtis_White,Fiction_Collective_Two
Dominican_Order,University_of_Santo_Tomas_Publishing_House
University_of_California,CEB_(Continuing_Education_of_the_Bar)
State_Bar_of_California,CEB_(Continuing_Education_of_the_Bar)
Sally_Ride,Sally_Ride_Science
Swami_Prabhavananda,Vedanta_Press
Bennett_Cerf,Random_House
Swami_Vivekananda,Udbodhan
Tim_O'Reilly,O'Reilly_Media
Kevin_J._Anderson,WordFire_Press
Theodore_Gray,Touch_Press
Karl_Saur,K._G._Saur_Verlag
Richard_Taylor_(editor),Taylor_&_Francis
Jack_Kirby,Mainline_Publications
J._Michael_Straczynski,Joe's_Comics
August_Derleth,Arkham_House
Donald_Wandrei,Arkham_House
Scott_Nearing,Vanguard_Press
Benjamin_Britten,Faber_Music
Eliyahu_Koren,Koren_Publishers_Jerusalem
Virginia_Woolf,Hogarth_Press
Stephen_Wolfram,Touch_Press
Edward_Elgar,Edward_Elgar_Publishing
Paul_Hamlyn,Conran_Octopus
Bernarr_Macfadden,Macfadden_Communications_Group
Phyllis_Fraser,Beginner_Books
Michael_Eisen,PLOS
Roger_Dean_(artist),Paper_Tiger_Books
Noah_Webster,Merriam-Webster
L._B._Cole,Star_Publications
Paul_Kurtz,Prometheus_Books
Roger_Nash_Baldwin,Vanguard_Press
Garland_Fund,Vanguard_Press
John_Berger,"For_Beginners,_LLC"
"Alfred_A._Knopf,_Sr.",Alfred_A._Knopf
"Alfred_A._Knopf,_Sr.",Vintage_Books
