1458286,4308616
659950,2470298
346467,9904
822327,359018
483175,3323130
121057,121061
3281343,3281342
1331178,81228
12137,4446351
242366,3457639
121014,361706
874922,361706
2515992,543045
619861,4492815
487076,2047830
331919,372340
184534,121061
1506085,2103695
1165626,3605804
1558411,19603
2323729,3015453
3820000,634483
1535401,1535399
1640816,1640815
2201640,2201639
308832,158949
2784982,543045
4530679,543045
590226,194621
240822,16747
240822,51204
660793,485448
330970,372340
3483768,714709
1857106,1857105
2562300,1528048
330007,122655
585569,26884
34517,1346583
1648382,465420
1741079,20329
1940308,1940307
231707,1106287
260395,59793
141323,3015453
1748040,378376
1376091,4641624
