Steve_Case,AOL
Paul_Allen,Microsoft
David_Packard,Hewlett-Packard
Sergey_Brin,Google
Scott_McNealy,Sun_Microsystems
Vinod_Khosla,Sun_Microsystems
Larry_Page,Google
Mitch_Kapor,Electronic_Frontier_Foundation
Elon_Musk,Tesla_Motors
Bill_Gates,Microsoft
Brewster_Kahle,Alexa_Internet
Paul_Allen,Vulcan_Inc.
Steve_Jobs,Apple_Inc.
Richard_Branson,Virgin_Group
Gordon_Moore,Intel
Charles_Wang,CA_Technologies
Steve_Wozniak,Apple_Inc.
Bill_Joy,Sun_Microsystems
Mike_Lazaridis,BlackBerry_Limited
