Sally_Ride,Sally_Ride_Science
Swami_Prabhavananda,Vedanta_Press
Bennett_Cerf,Random_House
Swami_Vivekananda,Udbodhan
Tim_O'Reilly,O'Reilly_Media
Kevin_J._Anderson,WordFire_Press
Theodore_Gray,Touch_Press
Karl_Saur,K._G._Saur_Verlag
Richard_Taylor_(editor),Taylor_&_Francis
Jack_Kirby,Mainline_Publications
J._Michael_Straczynski,Joe's_Comics
August_Derleth,Arkham_House
Donald_Wandrei,Arkham_House
Scott_Nearing,Vanguard_Press
Benjamin_Britten,Faber_Music
Eliyahu_Koren,Koren_Publishers_Jerusalem
Virginia_Woolf,Hogarth_Press
Stephen_Wolfram,Touch_Press
Edward_Elgar,Edward_Elgar_Publishing
Paul_Hamlyn,Conran_Octopus
Bernarr_Macfadden,Macfadden_Communications_Group
Phyllis_Fraser,Beginner_Books
Michael_Eisen,PLOS
Roger_Dean_(artist),Paper_Tiger_Books
Noah_Webster,Merriam-Webster
L._B._Cole,Star_Publications
Paul_Kurtz,Prometheus_Books
Roger_Nash_Baldwin,Vanguard_Press
Garland_Fund,Vanguard_Press
John_Berger,"For_Beginners,_LLC"
"Alfred_A._Knopf,_Sr.",Alfred_A._Knopf
"Alfred_A._Knopf,_Sr.",Vintage_Books
Michael_Turner_(comics),Aspen_MLT
Leonard_Woolf,Hogarth_Press
Felice_Newman,Cleis_Press
Elliot_Caplin,Toby_Press
Denis_Kitchen,Kitchen_Sink_Press
Kurt_Wolff_(publisher),Pantheon_Books
James_Rhyne_Killian,MIT_Press
Stephen_King,Philtrum_Press
Fred_T._Jane,Jane's_Information_Group
V._K._Krishna_Menon,Penguin_Books
Mary_Baker_Eddy,Christian_Science_Publishing_Society
Neal_Adams,Continuity_Comics
Bob_Schreck,Oni_Press
Dr._Seuss,Beginner_Books
Giangiacomo_Feltrinelli,Feltrinelli_(publisher)
Denys_Cowan,Milestone_Media
"Alfred_Harmsworth,_1st_Viscount_Northcliffe",Amalgamated_Press
