1315240,1237198
1670059,190247
240454,240455
476787,22438
85109,71144
85110,71144
476788,22438
650081,1237198
84797,83148
510507,2443383
299025,82995
2416241,83720
275634,54010
4436794,937732
83198,83148
243764,214899
1788605,598003
111399,75722
331703,112754
1940029,112754
2721779,324900
1314908,1237198
452900,138096
806214,389061
21989,598003
85108,71144
85631,51819
83718,83720
1307357,1046850
522491,240105
240652,240650
2481674,460964
506331,51819
242035,138096
87371,351028
