1,Montgomery is the capital of Alabama.,T,F
2,Austin is the capital of Texas.,T,T
3,Salt Lake City is the capital of Utah.,T,T
4,Richmond is the capital of Virginia.,T,F
5,Santa Fe is the capital of New Mexico.,T,T
6,Madison is the capital of Wisconsin.,T,T
7,Albany is the capital of New York.,T,A
8,Juneau is the capital of Alaska.,T,T
9,Springfield is the capital of Illinois.,T,F
10,Helena is the capital of Montana.,T,T
11,Phoenix is the capital of Arizona.,T,T
12,Sacramento is the capital of California.,T,A
13,Little Rock is the capital of Arkansas.,T,F
14,Hartford is the capital of Connecticut.,T,T
15,Tucson is the capital of Arizona.,F,F
16,Denver is the capital of Arizona.,F,F
