Prestige_Brands,"Tarrytown,_New_York"
Kodak,"Rochester,_New_York"
Long-Term_Capital_Management,Connecticut
Fox_Entertainment_Group,"Century_City,_Los_Angeles"
Timex_Group_USA,"Middlebury,_Connecticut"
Long-Term_Capital_Management,"Greenwich,_Connecticut"
Pinnacle_Foods,New_Jersey
Cadbury,"Parsippany-Troy_Hills,_New_Jersey"
Wyndham_Hotels_&_Resorts,"Parsippany-Troy_Hills,_New_Jersey"
Tyco_International,"Princeton,_New_Jersey"
RCN_Corporation,New_Jersey
Wyndham_Worldwide,New_Jersey
Sperry_Corporation,"Lake_Success,_New_York"
Auntie_Anne's,"Lancaster,_Pennsylvania"
Pratt_&_Whitney,"East_Hartford,_Connecticut"
Ensoniq,"Malvern,_Pennsylvania"
T.J._Maxx,"Framingham,_Massachusetts"
The_Vanguard_Group,"Malvern,_Pennsylvania"
DeLorean_Motor_Company,"Humble,_Texas"
Wyndham_Hotels_&_Resorts,New_Jersey
Bell_Labs,"Murray_Hill,_New_Jersey"
American_Motors,"Southfield,_Michigan"
Coleco,"Manalapan_Township,_New_Jersey"
Wyndham_Worldwide,"Parsippany-Troy_Hills,_New_Jersey"
Pizza_Hut,"Plano,_Texas"
UnitedHealth_Group,"Minnetonka,_Minnesota"
Lowe's,"Mooresville,_North_Carolina"
Bank_of_America_Merrill_Lynch,New_York_City
MIPS_Technologies,"Sunnyvale,_California"
Bell_Labs,New_Jersey
Boston_Scientific,"Marlborough,_Massachusetts"
Advance_Publications,Staten_Island
Humongous_Entertainment,"Bothell,_Washington"
Mary_Kay,"Addison,_Texas"
Subway_(restaurant),"Milford,_Connecticut"
4Licensing_Corporation,New_York_City
Standard_Oil,New_York_City
Bose_Corporation,"Framingham,_Massachusetts"
Dr_Pepper_Snapple_Group,"Plano,_Texas"
Actavis,"Parsippany-Troy_Hills,_New_Jersey"
The_3DO_Company,"Redwood_City,_California"
Punjab_National_Bank,New_Delhi
RCN_Corporation,"Princeton,_New_Jersey"
Kraft_Foods,"Northfield,_Illinois"
Harris_Interactive,"Rochester,_New_York"
Getty_Oil,"East_Meadow,_New_York"
DoubleClick,New_York_City
Filene's_Basement,"Burlington,_Massachusetts"
Netscape,"Mountain_View,_California"
Continental_Type_Founders_Association,New_York_City
