Siebel_Systems,"San_Mateo,_California"
Accel_Partners,"Palo_Alto,_California"
Microsoft_Studios,"Redmond,_Washington"
Nexon,"El_Segundo,_California"
The_Aerospace_Corporation,"El_Segundo,_California"
Gilead_Sciences,"Foster_City,_California"
Nvidia,"Santa_Clara,_California"
Khosla_Ventures,"Menlo_Park,_California"
Ning_(website),"Palo_Alto,_California"
Chevron_Corporation,"San_Ramon,_California"
OnLive,"Mountain_View,_California"
Mattel,"El_Segundo,_California"
Coursera,"Mountain_View,_California"
Lattice_Semiconductor,"Portland,_Oregon"
Transmeta,"Santa_Clara,_California"
Safeway_Inc.,"Pleasanton,_California"
Bessemer_Venture_Partners,"Menlo_Park,_California"
Carlson_Companies,"Minnetonka,_Minnesota"
Silver_Lake_Partners,"Menlo_Park,_California"
Cargill,"Minnetonka,_Minnesota"
General_Catalyst_Partners,"Palo_Alto,_California"
Tektronix,"Beaverton,_Oregon"
Electronic_Arts,"Redwood_City,_California"
Unocal_Corporation,"El_Segundo,_California"
GlobalFoundries,"Santa_Clara,_California"
AMC_Theatres,"Leawood,_Kansas"
Digital_Research,"Pacific_Grove,_California"
Crave_Entertainment,"Newport_Beach,_California"
Norwest_Venture_Partners,"Palo_Alto,_California"
UnitedHealth_Group,"Minnetonka,_Minnesota"
S3_Graphics,"Fremont,_California"
Redpoint_Ventures,"Menlo_Park,_California"
MIPS_Technologies,"Sunnyvale,_California"
National_Semiconductor,"Santa_Clara,_California"
Enterprise_Rent-A-Car,"Clayton,_Missouri"
"Nike,_Inc.","Beaverton,_Oregon"
Rambus,"Sunnyvale,_California"
Scion_(automobile),"Torrance,_California"
Synopsys,"Mountain_View,_California"
Sybase,"Dublin,_California"
Affymetrix,"Santa_Clara,_California"
Internet_Brands,"El_Segundo,_California"
SuperValu_(United_States),"Eden_Prairie,_Minnesota"
The_3DO_Company,"Redwood_City,_California"
PeopleSoft,"Pleasanton,_California"
Aksys_Games,"Torrance,_California"
"Atari,_Inc.","Sunnyvale,_California"
Polaroid_Corporation,"Minnetonka,_Minnesota"
Netscape,"Mountain_View,_California"
Facebook,"Menlo_Park,_California"
Quora,"Mountain_View,_California"
