Albertsons,"Boise,_Idaho"
Natsume_(company),"Burlingame,_California"
Microsoft_Studios,"Redmond,_Washington"
AstraZeneca,Cambridge
Hoover's,"Austin,_Texas"
Nexon,Berlin
Maxis_Communications,Kuala_Lumpur
FASA,Chicago
EarthLink,Atlanta
Pye_Ltd.,Cambridge
Beckman_Coulter,"Brea,_California"
BellSouth,Atlanta
Atari_Games,"Milpitas,_California"
Siemens,Berlin
Burroughs_Corporation,St._Louis
Wind_River_Systems,"Alameda,_California"
Tengen_(company),"Milpitas,_California"
Lattice_Semiconductor,"Portland,_Oregon"
Aniplex_of_America,"Santa_Monica,_California"
MillerCoors,Chicago
Borland,"Austin,_Texas"
New_World_Computing,"Agoura_Hills,_California"
Akamai_Technologies,"Cambridge,_Massachusetts"
Native_Instruments,Berlin
Lotus_Software,"Cambridge,_Massachusetts"
Molson_Coors_Brewing_Company,Denver
Infocom,"Cambridge,_Massachusetts"
Fox_Interactive,Los_Angeles
Harmonix,"Cambridge,_Massachusetts"
National_Instruments,"Austin,_Texas"
Tele-Communications_Inc.,Denver
Tektronix,"Beaverton,_Oregon"
"Nike,_Inc.","Beaverton,_Oregon"
Midway_Games,Chicago
Phoenix_Technologies,"Campbell,_California"
Acorn_Computers,Cambridge
BBN_Technologies,"Cambridge,_Massachusetts"
Prodigy_(online_service),"Austin,_Texas"
Pandemic_Studios,Los_Angeles
Aurora_Plastics_Corporation,Brooklyn
WebEx,"Milpitas,_California"
AT&T_Labs,"Austin,_Texas"
Acornsoft,Cambridge
Ableton,Berlin
BMC_Software,Houston
Cooper_Industries,Chicago
First_Data,Atlanta
Navteq,Chicago
Intersil,"Milpitas,_California"
HNTB,"Kansas_City,_Missouri"
