Microsoft_Studios,"Redmond,_Washington"
Hoover's,"Austin,_Texas"
Nexon,"El_Segundo,_California"
The_Aerospace_Corporation,"El_Segundo,_California"
Medtronic,"Fridley,_Minnesota"
Intergraph,"Huntsville,_Alabama"
Gilead_Sciences,"Foster_City,_California"
Amdocs,"Chesterfield,_Missouri"
Microchip_Technology,"Chandler,_Arizona"
Experian,"Costa_Mesa,_California"
Guggenheim_Partners,Chicago
Beckman_Coulter,"Brea,_California"
RR_Donnelley,Chicago
Nexon,"Emeryville,_California"
AMR_Corporation,"Fort_Worth,_Texas"
Maker_Studios,"Culver_City,_California"
Wind_River_Systems,"Alameda,_California"
TRW_Inc.,"Lyndhurst,_Ohio"
A.T._Kearney,Chicago
Borland,"Austin,_Texas"
TPG_Capital,"Fort_Worth,_Texas"
Magnatune,"Berkeley,_California"
New_World_Computing,"Agoura_Hills,_California"
Tektronix,"Beaverton,_Oregon"
Ensemble_Studios,Dallas
Northern_Trust,Chicago
S3_Graphics,"Fremont,_California"
Fox_Interactive,Los_Angeles
National_Instruments,"Austin,_Texas"
SugarCRM,"Cupertino,_California"
IMG_Academy,"Bradenton,_Florida"
Chiron_Corporation,"Emeryville,_California"
MoneyGram,Dallas
Enterprise_Rent-A-Car,"Clayton,_Missouri"
Backbone_Entertainment,"Emeryville,_California"
Sybase,"Dublin,_California"
Phoenix_Technologies,"Campbell,_California"
MedImmune,"Gaithersburg,_Maryland"
Hurley_International,"Costa_Mesa,_California"
Prodigy_(online_service),"Austin,_Texas"
Peet's_Coffee_&_Tea,"Emeryville,_California"
Pandemic_Studios,Los_Angeles
WebEx,"Milpitas,_California"
AT&T_Labs,"Austin,_Texas"
Level_3_Communications,"Broomfield,_Colorado"
Bank_of_Hawaii,Honolulu
Odwalla,"Half_Moon_Bay,_California"
Gracenote,"Emeryville,_California"
Navteq,Chicago
Internet_Brands,"El_Segundo,_California"
Intersil,"Milpitas,_California"
