Microsoft_Studios,"Redmond,_Washington"
New_Era_Cap_Company,"Buffalo,_New_York"
EarthLink,Atlanta
American_Apparel,Los_Angeles
Guggenheim_Partners,Chicago
Beckman_Coulter,"Brea,_California"
BellSouth,Atlanta
Carrier_Corporation,"Charlotte,_North_Carolina"
Bright_House_Networks,"Syracuse,_New_York"
Wind_River_Systems,"Alameda,_California"
Lattice_Semiconductor,"Portland,_Oregon"
Cox_Communications,Atlanta
National_Car_Rental,"Clayton,_Missouri"
MillerCoors,Chicago
Hurley_International,"Costa_Mesa,_California"
DreamHost,Los_Angeles
Meijer,"Grand_Rapids,_Michigan"
Magnatune,"Berkeley,_California"
Phoenix_Technologies,"Campbell,_California"
Goodrich_Corporation,"Charlotte,_North_Carolina"
Stanford_Financial_Group,Houston
Akamai_Technologies,"Cambridge,_Massachusetts"
Princess_Cruises,"Santa_Clarita,_California"
Lotus_Software,"Cambridge,_Massachusetts"
KBR_(company),Houston
Chipotle_Mexican_Grill,Denver
Fox_Interactive,Los_Angeles
Harmonix,"Cambridge,_Massachusetts"
Tele-Communications_Inc.,Denver
EBSCO_Industries,"Birmingham,_Alabama"
Cognos,Ottawa
Tektronix,"Beaverton,_Oregon"
Arthur_Andersen,Chicago
Regions_Financial_Corporation,"Birmingham,_Alabama"
"Nike,_Inc.","Beaverton,_Oregon"
International_Lease_Finance_Corporation,Los_Angeles
Equifax,Atlanta
BBN_Technologies,"Cambridge,_Massachusetts"
Myspace,"Beverly_Hills,_California"
Safaricom,Nairobi
WebEx,"Milpitas,_California"
Wachovia,"Charlotte,_North_Carolina"
Microchip_Technology,"Chandler,_Arizona"
Level_3_Communications,"Broomfield,_Colorado"
HealthSouth,"Birmingham,_Alabama"
Playboy_Enterprises,"Beverly_Hills,_California"
Molson_Coors_Brewing_Company,Denver
BMC_Software,Houston
Navteq,Chicago
Intersil,"Milpitas,_California"
Enterprise_Rent-A-Car,"Clayton,_Missouri"
