Rackspace,San_Antonio
Accel_Partners,"Palo_Alto,_California"
Hoover's,"Austin,_Texas"
Maxis_Communications,Kuala_Lumpur
Sony_Pictures_Entertainment,"Culver_City,_California"
Khosla_Ventures,"Menlo_Park,_California"
EarthLink,Atlanta
Ning_(website),"Palo_Alto,_California"
Netscape,"Mountain_View,_California"
Answers.com,St._Louis
Dine_Alone_Records,Los_Angeles
Coursera,"Mountain_View,_California"
Skechers,"Manhattan_Beach,_California"
CBS_Interactive,San_Francisco
Hurley_International,"Costa_Mesa,_California"
Zappos,Las_Vegas
Sonos,"Santa_Barbara,_California"
Hollywood_Records,"Burbank,_California"
Magnatune,"Berkeley,_California"
Tower_Records,"Sacramento,_California"
Greylock_Partners,"Menlo_Park,_California"
Akamai_Technologies,"Cambridge,_Massachusetts"
Index_Ventures,San_Francisco
CD_Baby,"Portland,_Oregon"
Ask.com,"Oakland,_California"
OnLive,"Mountain_View,_California"
Victory_Records,Chicago
Maker_Studios,"Culver_City,_California"
Pandora_Radio,"Oakland,_California"
Universal_Music_Latin_Entertainment,Los_Angeles
EBay,"San_Jose,_California"
Alexa_Internet,San_Francisco
PayPal,"San_Jose,_California"
SugarCRM,"Cupertino,_California"
OWSLA,Los_Angeles
Adobe_Systems,"San_Jose,_California"
Myspace,"Beverly_Hills,_California"
Prodigy_(online_service),"Austin,_Texas"
Polycom,"San_Jose,_California"
Suburban_Noize_Records,"Burbank,_California"
WebEx,"Milpitas,_California"
Fearless_Records,"Culver_City,_California"
Sumerian_Records,Los_Angeles
Gracenote,"Emeryville,_California"
Zynga,San_Francisco
Top_Dawg_Entertainment,"Carson,_California"
DirecTV,"El_Segundo,_California"
Facebook,"Menlo_Park,_California"
Check_Point,"San_Carlos,_California"
GoDaddy,"Scottsdale,_Arizona"
Quora,"Mountain_View,_California"
