Microsoft_Studios,"Redmond,_Washington"
Nexon,"El_Segundo,_California"
The_Aerospace_Corporation,"El_Segundo,_California"
Gilead_Sciences,"Foster_City,_California"
Experian,"Costa_Mesa,_California"
EarthLink,Atlanta
Guggenheim_Partners,Chicago
Beckman_Coulter,"Brea,_California"
RR_Donnelley,Chicago
Maker_Studios,"Culver_City,_California"
Wind_River_Systems,"Alameda,_California"
Lattice_Semiconductor,"Portland,_Oregon"
A.T._Kearney,Chicago
Hurley_International,"Costa_Mesa,_California"
TRW_Inc.,"Euclid,_Ohio"
Magnatune,"Berkeley,_California"
Odwalla,"Half_Moon_Bay,_California"
Stanford_Financial_Group,Houston
Akamai_Technologies,"Cambridge,_Massachusetts"
Lotus_Software,"Cambridge,_Massachusetts"
Nexon,"Emeryville,_California"
S3_Graphics,"Fremont,_California"
Fox_Interactive,Los_Angeles
Harmonix,"Cambridge,_Massachusetts"
New_World_Computing,"Agoura_Hills,_California"
Tele-Communications_Inc.,Denver
EBSCO_Industries,"Birmingham,_Alabama"
Cognos,Ottawa
SugarCRM,"Cupertino,_California"
Chiron_Corporation,"Emeryville,_California"
Tektronix,"Beaverton,_Oregon"
MoneyGram,Dallas
Enterprise_Rent-A-Car,"Clayton,_Missouri"
Backbone_Entertainment,"Emeryville,_California"
Sybase,"Dublin,_California"
Phoenix_Technologies,"Campbell,_California"
Equifax,Atlanta
BBN_Technologies,"Cambridge,_Massachusetts"
Ensemble_Studios,Dallas
Peet's_Coffee_&_Tea,"Emeryville,_California"
Safaricom,Nairobi
Pandemic_Studios,Los_Angeles
WebEx,"Milpitas,_California"
Microchip_Technology,"Chandler,_Arizona"
Level_3_Communications,"Broomfield,_Colorado"
HealthSouth,"Birmingham,_Alabama"
BMC_Software,Houston
First_Data,Atlanta
Navteq,Chicago
Internet_Brands,"El_Segundo,_California"
Intersil,"Milpitas,_California"
