Albertsons,"Boise,_Idaho"
Citgo,Houston
Microsoft_Studios,"Redmond,_Washington"
Western_Star_Trucks,"Portland,_Oregon"
Jack_in_the_Box,San_Diego
New_Era_Cap_Company,"Buffalo,_New_York"
Cooper_Industries,Chicago
American_Apparel,Los_Angeles
Beckman_Coulter,"Brea,_California"
Lattice_Semiconductor,"Portland,_Oregon"
BellSouth,Atlanta
RR_Donnelley,Chicago
Freightliner_Trucks,"Portland,_Oregon"
Harpo_Productions,Chicago
Meier_&_Frank,"Portland,_Oregon"
Wind_River_Systems,"Alameda,_California"
Capitol_Music_Group,Los_Angeles
Phillips_66,Houston
MillerCoors,Chicago
HealthSouth,"Birmingham,_Alabama"
Meijer,"Grand_Rapids,_Michigan"
Akamai_Technologies,"Cambridge,_Massachusetts"
Lotus_Software,"Cambridge,_Massachusetts"
IGA_(supermarkets),Chicago
KBR_(company),Houston
SunTrust_Banks,Atlanta
BMC_Software,Houston
Dunlop_Tyres,"Akron,_Ohio"
Harmonix,"Cambridge,_Massachusetts"
Tele-Communications_Inc.,Denver
Cognos,Ottawa
Forever_21,Los_Angeles
M&T_Bank,"Buffalo,_New_York"
Tektronix,"Beaverton,_Oregon"
Regions_Financial_Corporation,"Birmingham,_Alabama"
"Nike,_Inc.","Beaverton,_Oregon"
Hooters,Atlanta
Equifax,Atlanta
BBN_Technologies,"Cambridge,_Massachusetts"
Fred_Meyer,"Portland,_Oregon"
Safaricom,Nairobi
Vivid_Entertainment,Los_Angeles
WebEx,"Milpitas,_California"
Interscope_Records,"Santa_Monica,_California"
Playboy_Enterprises,"Beverly_Hills,_California"
Buffalo_Wild_Wings,Minneapolis
Molson_Coors_Brewing_Company,Denver
Chipotle_Mexican_Grill,Denver
EarthLink,Atlanta
Kinder_Morgan,Houston
Intersil,"Milpitas,_California"
