1,Kathmandu is the capital of Nepal.,T,F
2,Lisbon is the capital of Portugal.,T,T
3,New Delhi  is the capital of India.,T,F
4,Amsterdam is the capital of Netherlands.,T,F
5,Istanbul is the capital of Turkey.,T,F
6,Seoul is the capital of South Korea.,T,T
7,Havana is the capital of Cuba.,T,T
8,Cairo is the capital of Egypt.,T,T
9,Harare is the capital of Zimbabwe.,T,F
10,Beijing is the capital of China.,T,N
11,Kyoto is the capital of Japan.,F,F
12,Hiroshima is the capital of Japan.,F,F
13,Nagasaki is the capital of Japan.,F,F
14,Vatican City is the capital of Italy.,F,F
15,Lyon is the capital of France.,F,T
16,Kabul is the capital of India.,F,F
17,Brisbane is the capital of Vietnam.,F,F
18,Arizona is the capital of Mexico.,F,F
19,Madrid is the capital of Portugal.,F,N
20,Amsterdam is the capital of England.,F,F
21,Kabul is the capital of Afghanistan.,T,F
22,Vienna is the capital of Austria.,T,T
23,Dhaka  is the capital of Bangladesh.,T,F
24,Brussels is the capital of Belgium.,T,F
25,Ottawa is the capital of Canada.,T,T
26,Suva is the capital of Fizi.,T,N
28,Berlin is the capital of Germany.,T,T
30,Doha is the capital of Qatar.,T,T
31,Kyoto is the capital of India.,F,N
32,Hiroshima is the capital of Italy.,F,F
33,Nagasaki is the capital of France.,F,N
34,Vatican City is the capital of Japan.,F,F
35,Lyon is the capital of Japan.,F,N
36,Kabul is the capital of Japan.,F,F
37,Brisbane is the capital of Mexico.,F,F
38,Arizona is the capital of Vietnam.,F,N
29,Tehran is the capital of Iran.,T,T
39,Madrid is the capital of England.,F,N
40,Amsterdam is the capital of Portugal.,F,F
