1,Kathmandu is the capital of Nepal.,T,F
2,Lisbon is the capital of Portugal.,T,T
3,New Delhi  is the capital of India.,T,F
4,Amsterdam is the capital of Netherlands.,T,T
5,Istanbul is the capital of Turkey.,T,F
6,Seoul is the capital of South Korea.,T,T
7,Havana is the capital of Cuba.,T,T
8,Cairo is the capital of Egypt.,T,T
9,Harare is the capital of Zimbabwe.,T,F
10,Beijing is the capital of China.,T,F
11,Kyoto is the capital of Japan.,F,T
12,Hiroshima is the capital of Japan.,F,F
13,Nagasaki is the capital of Japan.,F,T
14,Vatican City is the capital of Italy.,F,F
15,Lyon is the capital of France.,F,T
16,Kabul is the capital of India.,F,F
17,Brisbane is the capital of Vietnam.,F,N
18,Arizona is the capital of Mexico.,F,F
19,Madrid is the capital of Portugal.,F,F
20,Amsterdam is the capital of England.,F,A
