id,test,True Positive,False Positive
38,"['Cognizant', ""Francisco_D'Souza""]","['keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']"
2,"['ACE_Limited', 'Evan_G._Greenberg']","[""keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]","[""not_keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]"
3,"['Aditya_Birla_Group', 'Kumar_Mangalam_Birla']","[""keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]"
10,"['Advanced_Micro_Devices', 'Rory_Read']","[""keyPerson('Advanced_Micro_Devices', 'Rory_Read') 1.0""]","[""not_keyPerson('Advanced_Micro_Devices', 'Rory_Read') 1.0""]"
126,"['Ahold', 'John_Rishton']","[""keyPerson('John_Rishton', 'Ahold_Delhaize') 1.0"", ""keyPerson('Ahold_Delhaize', 'John_Rishton') 1.0"", ""keyPerson('Ahold', 'John_Rishton') 1.0""]","[""not_keyPerson('Ahold_Delhaize', 'John_Rishton') 1.0"", ""not_keyPerson('Ahold', 'John_Rishton') 1.0"", ""not_keyPerson('John_Rishton', 'Ahold') 1.0"", ""not_keyPerson('John_Rishton', 'Ahold_Delhaize') 1.0""]"
50,"['Airbus_Group', 'Tom_Enders']","[""keyPerson('Airbus_Group', 'Tom_Enders') 1.0"", ""keyPerson('Tom_Enders__1', 'Airbus_Group') 1.0""]","[""not_keyPerson('Airbus_Group', 'Tom_Enders') 1.0"", ""not_keyPerson('Tom_Enders', 'Airbus_Group') 1.0"", ""not_keyPerson('Tom_Enders__1', 'Airbus_Group') 1.0""]"
7,"['Alcatel-Lucent', 'Michel_Combes']","[""keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]"
8,"['Alcoa', 'Klaus_Kleinfeld']","[""keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]","[""not_keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]"
6,"['Alliance_Boots', 'Stefano_Pessina']","[""keyPerson('Alliance_Boots', 'Stefano_Pessina') 1.0""]","[""not_keyPerson('Alliance_Boots', 'Stefano_Pessina') 1.0"", ""not_keyPerson('Stefano_Pessina__1', 'Alliance_Boots') 1.0""]"
13,"['AOL', 'Tim_Armstrong_(executive)']","[""keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]","[""not_keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]"
14,"['Apple_Inc.', 'Tim_Cook']","[""keyPerson('Apple_Inc.', 'Tim_Cook') 1.0""]","[""not_keyPerson('Apple_Inc.', 'Tim_Cook') 1.0""]"
15,"['ArcelorMittal', 'Lakshmi_Mittal']","[""keyPerson('Lakshmi_Mittal__1', 'ArcelorMittal') 1.0"", ""keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0"", ""keyPerson('Lakshmi_Mittal', 'ArcelorMittal') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0"", ""not_keyPerson('Lakshmi_Mittal', 'ArcelorMittal') 1.0"", ""not_keyPerson('Lakshmi_Mittal__1', 'ArcelorMittal') 1.0""]"
16,"['AT&T', 'Randall_L._Stephenson']","[""keyPerson('AT&T_Sports_Networks', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Randall_L._Stephenson') 1.0"", ""keyPerson('Randall_L._Stephenson', 'AT&T') 1.0"", ""keyPerson('AT&T_Corp.', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Mobility', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Corporation', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Mexico', 'Randall_L._Stephenson') 1.0"", ""keyPerson('Randall_L._Stephenson', 'AT&T_Mexico') 1.0"", ""keyPerson('AT&T_Inc.', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_U-verse', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Communications', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T', 'Randall_L._Stephenson') 1.0"", ""keyPerson('Randall_L._Stephenson', 'AT&T_Corporation') 1.0""]","[""not_keyPerson('AT&T_Sports_Networks', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('Randall_L._Stephenson', 'AT&T') 1.0"", ""not_keyPerson('AT&T_Corp.', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Mobility', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('Randall_L._Stephenson', 'AT&T_Mexico') 1.0"", ""not_keyPerson('AT&T_Inc.', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Communications', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('Randall_L._Stephenson', 'AT&T_Corporation') 1.0""]"
