id,triple,True Positive,False Positive
38,"['Cognizant', ""Francisco_D'Souza""]","['keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']"
1,"['Accenture', 'Pierre_Nanterme']","[""keyPerson('Accenture', 'Pierre_Nanterme') 1.0""]","[""not_keyPerson('Accenture', 'Pierre_Nanterme') 1.0""]"
2,"['ACE_Limited', 'Evan_G._Greenberg']","[""keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]","[""not_keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]"
3,"['Aditya_Birla_Group', 'Kumar_Mangalam_Birla']","[""keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]"
10,"['Advanced_Micro_Devices', 'Rory_Read']","[""keyPerson('Advanced_Micro_Devices', 'Rory_Read') 1.0""]","[""not_keyPerson('Advanced_Micro_Devices', 'Rory_Read') 1.0""]"
126,"['Ahold', 'John_Rishton']","[""keyPerson('Ahold', 'John_Rishton') 1.0"", ""keyPerson('Ahold_Delhaize', 'John_Rishton') 1.0""]","[""not_keyPerson('Ahold', 'John_Rishton') 1.0"", ""not_keyPerson('Ahold_Delhaize', 'John_Rishton') 1.0""]"
50,"['Airbus_Group', 'Tom_Enders']","[""keyPerson('Airbus_Group', 'Tom_Enders') 1.0""]","[""not_keyPerson('Airbus_Group', 'Tom_Enders') 1.0""]"
7,"['Alcatel-Lucent', 'Michel_Combes']","[""keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]"
8,"['Alcoa', 'Klaus_Kleinfeld']","[""keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]","[""not_keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]"
9,"['Amazon.com', 'Jeff_Bezos']","[""keyPerson('Amazon.com', 'Jeff_Bezos') 1.0""]","[""not_keyPerson('Amazon.com', 'Jeff_Bezos') 1.0""]"
12,"['American_Airlines_Group', 'Doug_Parker']","[""keyPerson('American_Airlines_Group', 'Doug_Parker_(airline_executive)') 1.0""]","[""not_keyPerson('American_Airlines_Group', 'Doug_Parker_(airline_executive)') 1.0""]"
11,"['American_Express', 'Kenneth_Chenault']","[""keyPerson('American_Express', 'Kenneth_Chenault') 1.0""]","[""not_keyPerson('American_Express', 'Kenneth_Chenault') 1.0""]"
13,"['AOL', 'Tim_Armstrong_(executive)']","[""keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]","[""not_keyPerson('AOL', 'Tim_Armstrong_(executive)') 1.0""]"
15,"['ArcelorMittal', 'Lakshmi_Mittal']","[""keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0""]","[""not_keyPerson('ArcelorMittal', 'Lakshmi_Mittal') 1.0""]"
16,"['AT&T', 'Randall_L._Stephenson']","[""keyPerson('AT&T_U-verse', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Corporation', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Mobility', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Mexico', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T_Digital_Life', 'Randall_L._Stephenson') 1.0"", ""keyPerson('AT&T', 'Randall_L._Stephenson') 1.0""]","[""not_keyPerson('AT&T_Mobility', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Sports_Networks', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Corporation', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_U-verse', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Communications', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Mexico', 'Randall_L._Stephenson') 1.0"", ""not_keyPerson('AT&T_Digital_Life', 'Randall_L._Stephenson') 1.0""]"
19,"['Bank_of_America', 'Brian_Moynihan']","[""keyPerson('Bank_of_America_Merrill_Lynch', 'Brian_Moynihan') 1.0"", ""keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0"", ""keyPerson('Bank_of_America_Home_Loans', 'Brian_Moynihan') 1.0""]","[""not_keyPerson('Bank_of_America_Merrill_Lynch', 'Brian_Moynihan') 1.0"", ""not_keyPerson('Bank_of_America', 'Brian_Moynihan') 1.0"", ""not_keyPerson('Bank_of_America_Home_Loans', 'Brian_Moynihan') 1.0""]"
20,"['Barclays', 'Antony_Jenkins']","[""keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0"", ""keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0""]","[""not_keyPerson('Barclays', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Africa_Group', 'Antony_Jenkins') 1.0"", ""not_keyPerson('Barclays_Investment_Bank', 'Antony_Jenkins') 1.0""]"
21,"['Berkshire_Hathaway', 'Warren_Buffett']","[""keyPerson('Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett') 1.0"", ""keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""keyPerson('Berkshire_Hathaway', 'Warren_Buffett') 1.0""]","[""not_keyPerson('Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""not_keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett') 1.0"", ""not_keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""not_keyPerson('Berkshire_Hathaway', 'Warren_Buffett') 1.0""]"
