id,test,False Negative,True Negative
776,"['Pizza_Hut', ""Francisco_D'Souza""]","['keyPerson(\'Pizza_Hut\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Pizza_Hut\', ""Francisco_D\'Souza"") 1.0']"
975,"['Target_Corporation', ""Francisco_D'Souza""]","['keyPerson(\'Target_Corporation\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Target_Corporation\', ""Francisco_D\'Souza"") 1.0']"
993,"['Telstra', ""Francisco_D'Souza""]","['keyPerson(\'Telstra\', ""Francisco_D\'Souza"") 1.0', 'keyPerson(\'Telstra_Corporate_Centre\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Telstra\', ""Francisco_D\'Souza"") 1.0', 'not_keyPerson(\'Telstra_Corporate_Centre\', ""Francisco_D\'Souza"") 1.0']"
203,"['Accenture', 'Brian_Krzanich']","[""keyPerson('Accenture', 'Brian_Krzanich') 1.0"", ""keyPerson('Brian_Krzanich__1', 'Accenture') 1.0""]","[""not_keyPerson('Accenture', 'Brian_Krzanich') 1.0"", ""not_keyPerson('Brian_Krzanich__1', 'Accenture') 1.0"", ""not_keyPerson('Brian_Krzanich', 'Accenture') 1.0""]"
202,"['Accenture', 'Diego_Della_Valle']","[""keyPerson('Accenture', 'Diego_Della_Valle') 1.0""]","[""not_keyPerson('Accenture', 'Diego_Della_Valle') 1.0"", ""not_keyPerson('Diego_Della_Valle', 'Accenture') 1.0""]"
204,"['Accenture', 'Satya_Prabhakar']","[""keyPerson('Accenture', 'Satya_Prabhakar') 1.0""]","[""not_keyPerson('Accenture', 'Satya_Prabhakar') 1.0"", ""not_keyPerson('Satya_Prabhakar', 'Accenture') 1.0""]"
209,"['ACE_Limited', 'Helge_Lund']","[""keyPerson('ACE_Limited', 'Helge_Lund') 1.0""]","[""not_keyPerson('ACE_Limited', 'Helge_Lund') 1.0""]"
211,"['ACE_Limited', 'James_Goodnight']","[""keyPerson('ACE_Limited', 'James_Goodnight') 1.0""]","[""not_keyPerson('ACE_Limited', 'James_Goodnight') 1.0""]"
210,"['ACE_Limited', 'Meg_Whitman']","[""keyPerson('ACE_Limited', 'Meg_Whitman') 1.0""]","[""not_keyPerson('ACE_Limited', 'Meg_Whitman') 1.0""]"
208,"['ACE_Limited', 'Michael_Corbat']","[""keyPerson('ACE_Limited', 'Michael_Corbat') 1.0""]","[""not_keyPerson('ACE_Limited', 'Michael_Corbat') 1.0""]"
207,"['ACE_Limited', 'Walter_Kwok']","[""keyPerson('ACE_Limited', 'Walter_Kwok') 1.0""]","[""not_keyPerson('ACE_Limited', 'Walter_Kwok') 1.0""]"
214,"['Aditya_Birla_Group', 'C._Robert_Henrikson']","[""keyPerson('Aditya_Birla_Group', 'C._Robert_Henrikson') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'C._Robert_Henrikson') 1.0""]"
213,"['Aditya_Birla_Group', 'Paul_Allen']","[""keyPerson('Aditya_Birla_Group', 'Paul_Allen') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Paul_Allen') 1.0""]"
215,"['Aditya_Birla_Group', 'Peter_Lynch']","[""keyPerson('Aditya_Birla_Group', 'Peter_Lynch') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Peter_Lynch') 1.0""]"
212,"['Aditya_Birla_Group', 'Philippe_Dauman']","[""keyPerson('Aditya_Birla_Group', 'Philippe_Dauman') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Philippe_Dauman') 1.0""]"
248,"['Advanced_Micro_Devices', 'Kazuo_Hirai']","[""keyPerson('Advanced_Micro_Devices', 'Kazuo_Hirai') 1.0""]","[""not_keyPerson('Advanced_Micro_Devices', 'Kazuo_Hirai') 1.0""]"
249,"['Advanced_Micro_Devices', 'Muhtar_Kent']","[""keyPerson('Advanced_Micro_Devices', 'Muhtar_Kent') 1.0""]","[""not_keyPerson('Advanced_Micro_Devices', 'Muhtar_Kent') 1.0""]"
246,"['Advanced_Micro_Devices', 'Vittorio_Colao']","[""keyPerson('Advanced_Micro_Devices', 'Vittorio_Colao') 1.0""]","[""not_keyPerson('Advanced_Micro_Devices', 'Vittorio_Colao') 1.0""]"
442,"['Airbus_Group', 'C._Robert_Henrikson']","[""keyPerson('Airbus_Group', 'C._Robert_Henrikson') 1.0""]","[""not_keyPerson('C._Robert_Henrikson', 'Airbus_Group') 1.0"", ""not_keyPerson('Airbus_Group', 'C._Robert_Henrikson') 1.0""]"
441,"['Airbus_Group', 'Lloyd_Blankfein']","[""keyPerson('Airbus_Group', 'Lloyd_Blankfein') 1.0"", ""keyPerson('Lloyd_Blankfein', 'Airbus_Group') 1.0""]","[""not_keyPerson('Airbus_Group', 'Lloyd_Blankfein') 1.0"", ""not_keyPerson('Lloyd_Blankfein', 'Airbus_Group') 1.0""]"
445,"['Airbus_Group', 'Sergio_Ermotti']","[""keyPerson('Airbus_Group', 'Sergio_Ermotti') 1.0""]","[""not_keyPerson('Airbus_Group', 'Sergio_Ermotti') 1.0"", ""not_keyPerson('Sergio_Ermotti', 'Airbus_Group') 1.0""]"
