id,triples,label,lpmln hard rules -q keyPerson(True Positive),lpmln hard rules -q not_keyPerson(False Positive),asp
38,"['Cognizant', ""Francisco_D'Souza""]",1,"['keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']","['not_keyPerson(\'Cognizant\', ""Francisco_D\'Souza"") 1.0']","['keyPerson(""Cognizant"",""Francisco_D\'Souza"")', 'keyPerson(""Francisco_D\'Souza__1"",""Cognizant"")', 'not_keyPerson(""Cognizant"",""Francisco_D\'Souza"")']"
1,"['Accenture', 'Pierre_Nanterme']",1,"[""keyPerson('Accenture', 'Pierre_Nanterme') 1.0""]","[""not_keyPerson('Accenture', 'Pierre_Nanterme') 1.0""]","['keyPerson(""Accenture"",""Pierre_Nanterme"")', 'not_keyPerson(""Accenture"",""Pierre_Nanterme"")']"
2,"['ACE_Limited', 'Evan_G._Greenberg']",1,"[""keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]","[""not_keyPerson('ACE_Limited', 'Evan_G._Greenberg') 1.0""]","['keyPerson(""ACE_Limited"",""Evan_G._Greenberg"")', 'not_keyPerson(""ACE_Limited"",""Evan_G._Greenberg"")']"
3,"['Aditya_Birla_Group', 'Kumar_Mangalam_Birla']",1,"[""keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]","[""not_keyPerson('Aditya_Birla_Group', 'Kumar_Mangalam_Birla') 1.0""]","['keyPerson(""Aditya_Birla_Group"",""Kumar_Mangalam_Birla"")', 'not_keyPerson(""Aditya_Birla_Group"",""Kumar_Mangalam_Birla"")']"
4,"['Adobe_Systems', 'Shantanu_Narayen']",1,"[""keyPerson('Adobe_Systems', 'Shantanu_Narayen') 1.0""]","[""not_keyPerson('Adobe_Systems', 'Shantanu_Narayen') 1.0""]","['keyPerson(""Adobe_Systems"",""Shantanu_Narayen"")', 'not_keyPerson(""Adobe_Systems"",""Shantanu_Narayen"")']"
50,"['Airbus_Group', 'Tom_Enders']",1,"[""keyPerson('Tom_Enders__1', 'Airbus_Group') 1.0"", ""keyPerson('Airbus_Group', 'Tom_Enders') 1.0""]","[""not_keyPerson('Airbus_Group', 'Tom_Enders') 1.0""]","['keyPerson(""Airbus_Group"",""Tom_Enders"")', 'keyPerson(""Tom_Enders__1"",""Airbus_Group"")', 'not_keyPerson(""Airbus_Group"",""Tom_Enders"")']"
7,"['Alcatel-Lucent', 'Michel_Combes']",1,"[""keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]","[""not_keyPerson('Alcatel-Lucent', 'Michel_Combes') 1.0""]","['keyPerson(""Alcatel-Lucent"",""Michel_Combes"")', 'not_keyPerson(""Alcatel-Lucent"",""Michel_Combes"")']"
8,"['Alcoa', 'Klaus_Kleinfeld']",1,"[""keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]","[""not_keyPerson('Alcoa', 'Klaus_Kleinfeld') 1.0""]","['keyPerson(""Alcoa"",""Klaus_Kleinfeld"")', 'not_keyPerson(""Alcoa"",""Klaus_Kleinfeld"")']"
6,"['Alliance_Boots', 'Stefano_Pessina']",1,"[""keyPerson('Alliance_Boots', 'Stefano_Pessina') 1.0""]","[""not_keyPerson('Alliance_Boots', 'Stefano_Pessina') 1.0""]","['keyPerson(""Alliance_Boots"",""Stefano_Pessina"")', 'not_keyPerson(""Alliance_Boots"",""Stefano_Pessina"")']"
9,"['Amazon.com', 'Jeff_Bezos']",1,"[""keyPerson('Amazon.com,_Inc.', 'Jeff_Bezos') 1.0"", ""keyPerson('Amazon.com', 'Jeff_Bezos') 1.0""]","[""not_keyPerson('Amazon.com,_Inc.', 'Jeff_Bezos') 1.0"", ""not_keyPerson('Amazon.com', 'Jeff_Bezos') 1.0""]","['keyPerson(""Amazon.com"",""Jeff_Bezos"")', 'keyPerson(""Amazon.com,_Inc."",""Jeff_Bezos"")', 'not_keyPerson(""Amazon.com"",""Jeff_Bezos"")', 'not_keyPerson(""Amazon.com,_Inc."",""Jeff_Bezos"")']"
